,Region and country of birth,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998 1,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
138,Niger, 7 , 3 , 1 , 2 , 4 , 8 , 10 , 102 , 837 ,283,12,30,1330,1263,808,62,126,116,97,107,183,96,96,48,37,71,55,119,116,93
139,Nigeria, 5213 , 8843 , 7912 , 4551 , 4448 , 3950 , 6818 , 10221 , 7038 ,7746,6769,7831,8253,8105,7872,9374,10597,13459,12448,12475,15253,13376,11824,13575,13840,12828,11542,14380,13539,13952
141,Rwanda, 7 , 6 , 12 , 10 , 25 , 16 , 41 , 118 , 170 ,52,98,73,148,217,109,163,276,502,357,378,952,489,520,592,540,555,732,1357,1394,1620
142,Sao Tome and Principe, 7 , 1 , 4 , 7 , - , 1 , 6 , 4 , 2 ,3,6,8,D,4,D,9,8,6,7,7,11,10,9,12,6,5,6,12,10,9
143,Senegal, 141 , 537 , 869 , 337 , 178 , 213 , 506 , 641 , 435 ,373,370,554,663,530,522,769,913,1367,1024,1149,1524,1285,1424,1615,1340,1273,1244,1533,1470,1420
144,Seychelles, 13 , 21 , 32 , 30 , 23 , 22 , 18 , 16 , 15 ,5,10,18,18,20,16,25,16,15,7,16,10,8,15,7,6,7,11,16,10,6
145,Sierra Leone, 939 , 1290 , 951 , 693 , 690 , 698 , 919 , 1918 , 1884 ,955,976,1585,1878,2246,1492,1596,2731,3572,1999,2795,2687,2011,1985,1688,1651,1740,1599,1535,2058,1527
146,Somalia, 228 , 277 , 458 , 500 , 1088 , 1737 , 3487 , 2170 , 4005 ,2629,1710,2393,3007,4535,2444,3929,5829,9462,6251,10745,13390,4558,4451,5204,3764,5190,6796,6958,7404,7557
147,South Africa, 1899 , 1990 , 1854 , 2516 , 2197 , 2144 , 2560 , 2966 , 2093 ,1904,1580,2824,4090,3861,2210,3370,4536,3201,2988,2723,3171,2758,2649,2781,2629,2676,2907,3023,2912,3010
149,Sudan, 272 , 306 , 679 , 675 , 714 , 651 , 1645 , 2172 , 2030 ,1161,1354,1531,1650,2921,1883,3211,5231,5504,2930,3598,3577,2397,2628,2471,1945,2442,3580,3159,3515,3658
151,Tanzania, 507 , 635 , 500 , 352 , 426 , 357 , 524 , 553 , 399 ,339,316,480,476,577,554,747,829,949,832,838,2773,1850,1427,1516,837,774,799,788,1415,3186
152,Togo, 29 , 30 , 33 , 45 , 41 , 52 , 83 , 157 , 222 ,246,254,386,487,935,1187,2041,1523,1720,1565,1661,1680,1563,1506,1756,1257,1612,1547,1938,1572,1534
153,Tunisia, 125 , 226 , 275 , 216 , 167 , 149 , 189 , 228 , 163 ,200,150,307,438,540,353,457,495,510,417,410,416,418,440,422,445,429,518,518,535,517
154,Uganda, 393 , 674 , 538 , 437 , 415 , 391 , 383 , 422 , 400 ,355,250,418,457,575,455,721,858,1372,1122,1174,1364,1085,1239,1340,1350,1409,1664,1649,1898,2412
156,Zambia, 259 , 209 , 228 , 210 , 225 , 198 , 222 , 226 , 262 ,213,143,211,295,308,280,359,499,672,576,613,704,628,652,643,505,441,460,487,537,477
157,Zimbabwe, 230 , 272 , 261 , 296 , 308 , 246 , 299 , 385 , 274 ,186,184,322,475,484,358,628,923,1049,1057,953,983,1274,1016,914,924,797,779,815,810,749
159,American Samoa, 1 , 2 , 2 , - , 1 , - , 1 , 2 , - ,4,11,7,28,26,16,12,15,28,11,14,19,14,D,-,D,-,-,-,D,D
160,Australia, 1546 , 1754 , 1678 , 2238 , 2320 , 2049 , 1751 , 1950 , 1630 ,1147,1112,2044,2811,2557,1836,2604,3193,3249,2518,2464,2622,2512,2343,2414,2759,2809,3034,3239,2906,2693
164,Fiji, 968 , 1353 , 1349 , 807 , 854 , 1007 , 1491 , 1847 , 1549 ,1717,1601,1483,1452,1208,1095,1593,1422,2115,1637,1176,1194,1201,1041,853,895,802,875,866,805,730
165,French Polynesia, 22 , 29 , 31 , 24 , 28 , 19 , 25 , 15 , 21 ,14,9,13,16,12,14,13,19,37,27,26,30,16,21,30,-,24,14,27,20,10
166,Kiribati, 4 , 5 , 13 , 15 , 4 , 4 , 5 , 6 , 5 ,4,-,3,-,D,4,D,4,8,10,4,10,6,D,6,3,6,4,9,D,D
167,Marshall Islands, 5 , 3 , 2 , 4 , 2 , 1 , 5 , 3 , 3 ,6,3,3,D,26,26,48,32,53,48,39,48,37,38,50,46,56,32,32,23,23
168,Micronesia Federated States, 8 , 7 , 6 , 11 , 11 , 7 , 7 , 5 , 2 ,4,2,5,9,D,4,5,6,12,7,13,16,10,9,13,4,5,6,11,6,19
