,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ethiopia,1370.0,1453.0,1505.0,1858.0,2359.0,2558.0,2563.0,1813.0,1727.0,2411.0,2758.0,2756.0,3892.0,3820.0,4255.0,4621.0,5397.0,5165.0,7160.0,8698.0,8903.0,8519.0,8803.0,8323.0,7002.0,8312.0,8725.0,7370.0,6769.0
Fiji,374.0,477.0,398.0,544.0,705.0,698.0,1336.0,628.0,484.0,686.0,921.0,1175.0,1020.0,1206.0,1267.0,1503.0,1163.0,1118.0,1508.0,998.0,1140.0,1118.0,1134.0,1003.0,770.0,850.0,996.0,841.0,875.0
Finland,83.0,85.0,91.0,103.0,135.0,137.0,152.0,82.0,106.0,139.0,200.0,114.0,140.0,118.0,352.0,431.0,532.0,359.0,549.0,385.0,286.0,344.0,329.0,300.0,274.0,301.0,303.0,279.0,283.0
France,1091.0,1413.0,1124.0,1239.0,1758.0,1518.0,2257.0,1281.0,1250.0,2028.0,2278.0,1742.0,1718.0,1476.0,1802.0,1963.0,2449.0,1979.0,2765.0,2464.0,2263.0,2527.0,2358.0,2534.0,2589.0,2784.0,2841.0,2812.0,2854.0
French Guiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,6.0,6.0,5.0,5.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,41.0,16.0,9.0,10.0,22.0,16.0,19.0,15.0,12.0,12.0,14.0,15.0,8.0,20.0,14.0,18.0,14.0,13.0
Gabon,1.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,8.0,5.0,12.0,11.0,12.0,18.0,23.0,18.0,24.0,35.0,43.0,53.0,80.0,72.0,63.0,89.0,83.0,67.0,81.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,69.0,135.0,113.0,136.0,189.0,286.0,246.0,330.0,419.0,444.0,505.0,556.0,573.0,510.0,685.0,724.0,586.0,650.0
"Gambia, The",13.0,19.0,11.0,18.0,26.0,51.0,82.0,39.0,40.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,0.0,0.0,1.0,8.0,24.0,94.0,81.0,72.0,118.0,406.0,415.0,444.0,416.0,382.0,443.0,628.0,514.0,627.0,864.0,1107.0,1253.0,1271.0,1205.0,898.0,1027.0,988.0,889.0,751.0
Germany,2395.0,2197.0,1901.0,2554.0,3706.0,3546.0,4245.0,2588.0,2345.0,3702.0,4508.0,3200.0,3424.0,3192.0,3836.0,3811.0,4556.0,3617.0,4708.0,4564.0,4001.0,4461.0,4192.0,4066.0,4375.0,4380.0,4329.0,3879.0,4284.0
Ghana,714.0,669.0,692.0,722.0,1110.0,1557.0,2519.0,1418.0,1024.0,1243.0,2032.0,1828.0,3326.0,2831.0,3577.0,3561.0,4760.0,3181.0,4557.0,4819.0,4211.0,4690.0,5344.0,5105.0,5108.0,6033.0,6411.0,5777.0,6047.0
Grand Total,270101.0,308058.0,240252.0,314681.0,434107.0,488088.0,1044689.0,598225.0,463060.0,839944.0,886026.0,606259.0,572646.0,462435.0,537151.0,604280.0,702589.0,660477.0,1046539.0,743715.0,619913.0,694193.0,757434.0,779929.0,653416.0,730259.0,753060.0,707265.0,761901.0
Greece,2270.0,1820.0,1769.0,2135.0,2596.0,2114.0,2769.0,1645.0,1268.0,1865.0,2252.0,1661.0,1285.0,933.0,1100.0,1075.0,1291.0,1200.0,1314.0,1067.0,800.0,844.0,867.0,938.0,780.0,867.0,1013.0,945.0,1074.0
Grenada,459.0,456.0,421.0,552.0,815.0,722.0,1564.0,1136.0,601.0,1402.0,1164.0,609.0,607.0,524.0,530.0,649.0,781.0,511.0,850.0,683.0,446.0,528.0,683.0,717.0,544.0,664.0,658.0,629.0,463.0
Guadeloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,14.0,25.0,18.0,21.0,26.0,36.0,16.0,39.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,1280.0,1832.0,1086.0,1682.0,3001.0,5159.0,13383.0,7522.0,5444.0,10601.0,11444.0,6257.0,5442.0,4551.0,5080.0,6250.0,6551.0,8181.0,17087.0,8619.0,5375.0,7285.0,8797.0,9530.0,8549.0,9344.0,9764.0,9131.0,9566.0
Guinea,15.0,7.0,7.0,3.0,10.0,8.0,23.0,22.0,26.0,32.0,70.0,67.0,111.0,81.0,124.0,137.0,194.0,191.0,225.0,304.0,418.0,575.0,787.0,958.0,908.0,999.0,1077.0,957.0,924.0
Guinea-Bissau,1.0,2.0,3.0,1.0,6.0,3.0,6.0,1.0,2.0,6.0,20.0,6.0,14.0,15.0,10.0,10.0,14.0,5.0,14.0,17.0,17.0,29.0,30.0,24.0,27.0,29.0,20.0,25.0,28.0
Guyana,4306.0,4826.0,4717.0,4938.0,6043.0,5584.0,10618.0,7008.0,4479.0,9288.0,10794.0,7038.0,7220.0,4929.0,4877.0,5543.0,7434.0,5631.0,8290.0,6840.0,4932.0,5413.0,6201.0,6295.0,4327.0,5162.0,5284.0,4527.0,4625.0
Haiti,5009.0,4436.0,3993.0,5202.0,7997.0,7876.0,24556.0,15667.0,10168.0,17400.0,14373.0,10355.0,9268.0,7247.0,8215.0,9740.0,15979.0,11552.0,21229.0,13290.0,12291.0,14191.0,19114.0,23480.0,13676.0,14053.0,15276.0,12794.0,14389.0
Honduras,1259.0,1306.0,1248.0,1713.0,2208.0,2943.0,7494.0,4022.0,2651.0,4694.0,5168.0,3248.0,3496.0,3004.0,3455.0,3953.0,4949.0,4669.0,8794.0,4858.0,3056.0,3980.0,5294.0,5462.0,4433.0,5039.0,5819.0,5310.0,5645.0
Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,542.0,2825.0,8085.0,5269.0,4849.0,3752.0,3713.0,4479.0,4263.0,3871.0,4940.0,3329.0,2198.0,2184.0,1980.0,2093.0,1801.0,1716.0,1662.0,1623.0,1768.0
